nautiquill|A broad stingray with parchment-blue skin patterned like a sea chart, a quill-shaped tail and luminous compass freckles around its gentle eyes.|chart lash|compass undertow
pluvoceros|A stocky rhinoceros made of layered rainclouds, with a clear ice horn, slate-blue hooves and long curtains of rain falling from its flanks.|rainhorn jab|cloudbank charge
brinoodle|A ribbon eel with pearly noodle-like skin, teal whiskers and a spiral porcelain collar holding a tiny pool of luminous seawater.|brine flick|ribbon riptide
bubbastion|A floating defensive creature made of interlocking transparent bubbles, with a small blue crystal face and thick droplet-shaped arms.|bubble bash|foam fortress
coralume|A deer-like reef creature with pale coral antlers, a sea-glass body, fin-shaped ears and softly glowing anemones along its shoulders.|coral tap|reef radiance
rillipede|A segmented stream creature with smooth turquoise pebble armour, many short watery legs and two curled reed antennae.|pebble skim|rill stampede
glacipuff|A plump pufferfish made of frosted glass, with short blunt ice spikes, large dark eyes and a little cloud of sparkling cold bubbles.|frost puff|icicle bloom
siphonaut|A compact deep-sea diver creature with a pearly siphon shell for a helmet, blue tentacle limbs and a floating cluster of glass air tanks.|siphon jab|pressure descent
lagunelle|A graceful jelly-bodied gazelle with clear lagoon-blue skin, curved white shell horns and hooves surrounded by circular ripples.|ripple leap|lagoon surge
dewquartz|A small six-legged quartz creature with transparent water-filled crystals, bright teal bead eyes and large hanging dew drops beneath its belly.|dew splinter|crystal deluge
gutterwisp|A curled copper rain-gutter spirit with a fishlike face, four thin pipe legs and a flowing tail made of clean blue rainwater.|gutter spout|rainpipe rush
marimask|A floating wooden diving mask with a dark blue kelp mane, shell eyelids and two long translucent water sleeves ending in soft fins.|mask splash|tidal masquerade
frostitch|A long-limbed doll stitched from blue sailcloth, with pearl buttons, icicle knitting needles and a scarf of braided frozen spray.|icicle stitch|glacial tapestry
puddlevet|A low velvety amphibian with a flat puddle-shaped body, four broad glossy feet and reflective silver eyes that seem to hold little clouds.|puddle slap|silver flood
semaphorel|A tall sea bird with red-and-blue signal-flag wings, a pearl-white neck and narrow coral legs standing in floating rings of water.|flag flick|harbour signal
cascadore|A heavy stone lion with a waterfall pouring through its mane, moss-dark paws and round aqua gems set in its weathered face.|cascade claw|waterfall roar
kelparade|A long-legged kelp dancer with a smooth white shell mask, a broad skirt of layered blue-green fronds and a belt of jingling snail shells.|frond swish|current procession
rinsetrel|A cheerful otter-shaped creature made of glossy blue soap, with white foam whiskers and a tail formed from a curled washing ribbon.|soap skid|rinse torrent
abysscribe|A deep-sea squid with dark indigo skin, luminous lettering-like freckles and long pale arms ending in soft brush-shaped tips.|ink brush|abyssal script
mistrillo|A round armoured creature with overlapping silver mist droplets for scales, a clear fishbowl face and a short spiralling vapour tail.|mist roll|silver downburst
