umbrindle|a stocky velvet-black badger with lavender glass claws and a broad shadow ribbon curling from its shoulders|velvet rake|burrow eclipse
nocturnip|a round purple turnip creature with ink-black leaves, small root feet and mischievous silver eyes|root feint|midnight uproot
velvraith|a tall draped velvet creature with a small porcelain face and six tapering cloth limbs|hem swipe|curtain fall
obsidillo|a low armadillo with faceted obsidian armor and a violet glow between its broad plates|shard tuck|shardbound roll
inkraven|a glossy raven with brush-shaped tail feathers and droplets of dark ink orbiting its beak|ink peck|blotted wing
mournacle|a squat barnacle-shaped stone creature with a violet eye inside a spiral chamber and four black claws|chamber snap|hollow surge
umbrellisk|a walking umbrella creature with a scalloped black canopy, silver ribs and a curved tail handle|rib jab|canopy eclipse
noctelope|a slender antelope with dark plum fur and crescent horns enclosing tiny floating silver stars|crescent thrust|moonless bound
shadeloom|a spiderlike weaving creature with eight ebony legs and a spool-shaped abdomen wrapped in dusk ribbons|shuttle sting|woven night
gloamox|a broad ox with charcoal wool, polished onyx horns and a violet mist caught around its hooves|onyx butt|gloaming charge
cryptettle|a round antique teapot creature with three clawed feet and a long smoky spout forming a curled trunk|spout hiss|steeping shadow
murkoi|a floating koi with deep violet scales, silver whiskers and translucent smoke-shaped fins|murky flick|inkwater spiral
hushmoth|a large soft moth with charcoal wings patterned like closed silver eyes and a plush violet thorax|silent flutter|hushed veil
nightjarrow|a long-beaked bird with layered slate feathers and a narrow tail shaped like a folded fan|nightjar peck|silent descent
obscurail|a snail with a dark gothic arch-shaped shell, silver feelers and broad violet foot|arch bump|vaulted shadow
penumbrat|a small round rat with oversized translucent black ears and a pale violet ring around its tail|ear flick|penumbra scurry
sabletine|a thin-limbed stoat with sable fur, silver-tipped whiskers and a forked shadow tail|whisker feint|sable slash
duskettle|a squat iron kettle-bodied frog with a wide lid head and purple vapor gills|lid clap|vapor gloom
ravellock|a living antique padlock with a keyhole eye, hooked black limbs and a tassel of violet threads|shackle grip|sealed dusk
noctivane|a floating weather-vane creature with black iron wings and a crescent-shaped central eye|vane cut|midnight turn
inkarnet|a tiny squid with a folded parchment mantle stained purple and eight calligraphy-brush arms|brush blot|inkscript burst
umbrafawn|a delicate deerlike creature with dark glass hooves and a broad leaf-shaped shadow crest|shadow step|gloam prance
morbloom|a large black tulip creature with a silver face inside its cup and four thick root limbs|petal hush|night bloom
cobalurk|a hunched cave guardian with charcoal stone skin, cobalt crystal knuckles and wide luminous eyes|cave knock|cobalt crush
gloamure|a long-tailed tree creature with purple fur, pale ring-shaped eyes and silver claws|branch feint|twilight vault
velvowl|a round owl with charcoal velvet plumage and a folded hood of black feathers framing its moon-white face|hood flutter|velvet descent
shadequill|a squat echidna with curved smoky-glass spines and tiny lavender paws|smoke prickle|quill eclipse
noctiloom|a tall loom-shaped golem of ebony wood with hanging purple warp threads forming its arms|warp lash|nightweave strike
obsiray|a broad manta-shaped creature with polished black stone skin and thin violet seams tracing its fins|stone glide|abyssal sweep
hushkin|a small hooded creature with a smooth silver mask, round mitten hands and softly fading feet|mitten feint|quiet eclipse
mirequill|a reed-thin marsh bird with black needle feathers and a long violet bill curving gently downward|needle peck|marsh gloom
inkipede|a long segmented creature made of ink-filled glass beads with dozens of tiny silver feet|bead scuttle|inky coil
noxolotl|a plump charcoal axolotl with branching violet crystal gills and short translucent paws|gill jab|cavern pulse
umbryx|a compact oryx with smoky fur and two straight obsidian horns connected by a floating violet ring|ring thrust|darkline rush
shadimble|a thimble-headed sewing creature with silver needle legs and a spool of black velvet thread|needle nip|stitched shadow
noctifern|a walking fern with dark indigo fronds, a silver spiral face and three knotted root feet|frond feint|night unfurl
sablemaw|a broad-mouthed toad with dark velvet skin, pearly eyes and smoky pouches along its cheeks|pouch puff|sable bellow
cryptalon|a long-legged raptor with slate scales and claws shaped like polished black keys|key talon|vaultbreaker swoop
lacunelle|a hollow porcelain doll creature with violet light inside its torso and floating black ribbon joints|ribbon tug|hollow embrace
gloamplum|a round plum-bodied quadruped with dusty purple skin and a curling charcoal leaf crest|stone bump|dusky tumble
murkmant|a mantis with smoky transparent forearms, a dark triangular face and long silver antennae|smoke slice|murk scissor
velourge|a huge soft caterpillar with black velvet segments and six tiny pearl eyes across its rounded head|velour nudge|plush avalanche
obsiclaw|a chunky scorpion with faceted black glass claws and a coiled tail tipped with a violet pearl|facet pinch|onyx sting
nightelope|a long-eared jumping creature with dark striped fur, broad hind feet and a plume of violet smoke|dusk kick|nightfall leap
inkwellor|a squat inkwell creature with silver rim armor, two brushlike arms and stubby black feet|rim clink|reservoir blot
umbracord|a floating knot of thick black cords with a silver eye at its center and four braided limbs|cord snap|tangled dusk
noxglider|a tiny flying squirrel with charcoal membranes and glowing lavender lines tracing its wide wings|membrane flick|moonshade glide
caverook|a walking rook-shaped cave stone with two silver eyes, broad block feet and purple crystals in its battlements|rook knock|cavern rampart
hushalo|a soft buffalo with sweeping dark horns and thick indigo fur that trails into a low fog|fog nudge|silent stampede
sablefin|a slender eel-shaped air creature with black ribbon fins and a line of silver eyespots|ribbon bite|sable current
gloamask|a floating theatrical mask of dark wood with long violet streamers forming a flexible body|mask feint|curtain eclipse
obsidianth|a squat six-legged blossom of obsidian petals surrounding a luminous purple center|petal shard|glass eclipse
noctettle|a tiny hedgehog with hooked black bramble spines and a cream crescent on its forehead|bramble poke|thorny dusk
umbroscope|a tripod-bodied creature with a brass telescope head, black glass lens and a trailing indigo cloak|lens feint|dark focus
velvotine|a tall velvet bat with broad scalloped wings and a silver ruff shaped like a collar|ruff flick|velvet cyclone
inkhornet|a large six-legged hornet with a translucent abdomen filled with black ink and pale silver wings|ink needle|blot swarm
murkshell|a stout hermit crab with a dark spiral shell like a sealed bell and two smoky violet claws|bell pinch|sealed undertow
cryptillow|a pillow-shaped creature with tufted purple velvet skin, tassel limbs and two sleepy silver eyes|tassel tap|heavy hush
noxamander|a long salamander with glossy charcoal skin and rows of dark amethyst plates along its spine|amethyst nip|cinderless coil
shadefolio|a floating book-shaped creature with black covers, silver clasp teeth and folded page wings|page slice|closed chapter
gloamink|a slender mink with smoky-purple fur and a collar of small floating obsidian beads|bead swipe|gloam pursuit
umbracress|a low creeping plant creature with black heart-shaped leaves and a silver snail-like face|leaf hook|shadow thicket
obsibell|a four-legged bell creature carved from black basalt with a purple eye beneath its flared rim|basalt chime|hollow toll
nocturnyx|a deep-indigo lynx with long silver ear tufts and triangular patches of starless black fur|tuft feint|midnight pounce
sabletch|a crouched impish creature made of charcoal pencil strokes with a violet oval face and long ink fingers|charcoal swipe|sketched gloom
hushreed|a slender flute-bodied creature of black reed with silver finger holes and two curled root feet|reed whisper|silent cadence
velvursa|a small round bear with black plush fur and a broad collar of folded indigo fabric|plush swat|blanket dusk
inkubell|a hovering jellyfish with an inky bell, silver scalloped rim and a short skirt of violet tendrils|tendril blot|inkbell pulse
murkettle|a mechanical tortoise with a dark iron shell full of curling purple vapor and blunt brass feet|iron shove|smokehouse surge
cryptibex|a shaggy cliff goat with dark slate horns carved into angular steps and glowing violet eyes|step horn|ravine ram
noxspindle|a spinning spindle creature with a black glass body and six thin silver arms pulling dark ribbons|spindle jab|midnight gyre
umbrafold|a folded black-paper crane creature with silver creases and a long ribbon tail curling beneath it|crease cut|paper eclipse
gloambray|a stocky donkey with charcoal fur, translucent violet ears and a thick tail like a soft brush|brush kick|gloaming bray
obscurona|a floating hollow crown of dark silver with three hinged claw legs and a violet orb suspended inside|crown rake|regal shadow
sablespool|a squat spider with a bobbin-shaped abdomen, six curved black legs and two silver feelers|bobbin jab|spooled eclipse
hushnail|a broad-footed slug with a velvet mantle shaped like a folded hood and a line of silver dew beads|mantle nudge|quiet trail
velviper|a short thick serpent with velvety black scales and a wide violet collar of translucent fins|velvet nip|dusk constrict
inkadorn|a small stag beetle with an inkwell abdomen, dark silver mandibles and ornate purple wing covers|mandible blot|ornate eclipse
noctivault|a broad stone guardian with a hollow arched torso, two heavy hands and a violet star suspended in its chest|arch fist|vaulted night
duskervet|a compact four-legged creature with smoky indigo fur, long silver whiskers and a fan of soft shadow tails|whiskered feint|tail eclipse
