cindrel|A charcoal ceramic quadruped with amber eyes, petal-shaped orange shoulder vents, glowing cracks and a curved segmented tail carrying a translucent ember pod.|ember flick|flare spiral
brassalam|A low six-legged salamander with polished brass bellows along its ribs, a soot-black snout and a mane of curled copper furnace ribbons.|bellows snap|copper exhale
kettlisk|A squat porcelain kettle creature balancing on three clawed feet, its spout curling like a tusk and a glowing steam halo circling its lid.|spout scald|boiling coronet
pyrelace|A graceful spider with eight dark needle legs, a red glass abdomen and a delicate wheel of burning lace suspended between its limbs.|cinder stitch|lace inferno
scorovel|A broad mole made of baked terracotta, with shovel-shaped front claws, ember-lined whiskers and a tiny smouldering garden on its back.|kiln burrow|terracotta upheaval
magmaestro|A lanky conductor with a basalt mask, four baton-like arms, a charcoal tailcoat and a floating ring of molten musical notes.|baton spark|molten overture
tindervane|A rooster with a spinning copper weather-vane crest, coal-feathered wings and a tail that trails curved golden heat ribbons.|crest flare|sunward squall
flambrel|A small umbrella-shaped fire spirit whose crimson canopy consists of overlapping flameproof petals, with two glowing eyes beneath and a hooked charcoal foot.|canopy flash|scarlet downpour
cauteroot|A walking blackened root stump with four knotted legs, a glowing heartwood face and ember buds flowering along its branching arms.|charred grasp|heartwood blaze
ignivault|A living iron strongbox standing on lion-like paws, with a radiant orange keyhole eye and riveted doors opening onto a miniature furnace.|keyhole beam|furnace dividend
emberdillo|A stout armadillo with interlocking obsidian plates, luminous orange seams and a short tail ending in a round pumice hammer.|coal curl|obsidian roll
safflare|A delicate saffron flower creature with a single charcoal stalk leg, a smiling amber seed face and six broad burning spice petals.|saffron lash|petal eruption
crockle|A round earthenware cooking pot with stout stone arms, a cheerful lid face and a slow swirl of luminous coals visible through side vents.|clay clatter|hearth cyclone
blazebloom|A hovering carnivorous blossom with glassy red petals, an ivory seed core and ribbon roots that leave glowing arcs in the air.|pollen pop|blossom detonation
torquember|A compact mechanical ram with coiled copper torque-spring horns, a coal-black wool body and ember sparks gathered in its hooves.|spring jab|torque ignition
fumarill|A frilled desert lizard with a fan of porous volcanic stone, three soft smoke plumes and a glowing orange stripe down its back.|vent hiss|fumarole fan
lantherge|A stout lantern-bodied beetle with bronze wing cases, six jointed candlewick feet and a warmly glowing face behind frosted amber glass.|wick prickle|lantern surge
