bourrel|A stout badger with ridged oak-bark armour, a pale moss muzzle and a fan of rounded burdock leaves rising from its shoulders.|burdock rake|barkback rush
mycello|A gentle cello-shaped fungus creature with a dark walnut stem body, pale gill-shaped strings and a broad moss-green mushroom cap.|gill pluck|spore concerto
fernograff|A long-necked creature woven from tightly unfurled fern fronds, with a small seedpod face, slender root legs and a curled leafy tail.|fern reach|frond stampede
acornyx|A compact stone-grey beetle with a polished acorn shell, antler-like twig mandibles and six dark green leaf-edged legs.|acorn snap|oak-shell roll
petalisk|A broad flat lizard with velvety violet petals for scales, a golden pollen frill and four soft leaf-shaped feet.|petal flick|pollen fan
mossquill|A large porcupine with rounded moss-green fur, long rolled-leaf quills and a bark-brown nose dotted with small white lichen spots.|leaf prickle|mossburst volley
vellich|A hovering open book creature grown from thin birch bark, with pressed-leaf wings, a chestnut spine and two pale seed eyes.|bark page|forest chapter
thistalon|A sharp-eyed raptor with thistle-down plumage, curved green thorn talons and a crown of violet flower spikes.|thorn talon|thistle dive
rootunda|A broad circular root creature with a hollow tree-ring face, four thick buttress-root legs and a crown of smooth emerald stones.|root knock|ringwood quake
lichenell|A delicate bell-shaped lichen spirit with a pale mint mantle, thin coral-like arms and a small amber seed suspended inside its hood.|lichen chime|woodland peal
bamboogle|A round-eyed bamboo owl with thick segmented reed limbs, broad woven-leaf wings and two little curled shoots above its face.|bamboo peck|reedwing rush
morcheval|A squat horse-like fungus with a honeycombed morel mane, pale sturdy stalk legs and a short fan-shaped tail of cream gills.|morel hoof|honeycomb charge
ivyatrix|A slender mantis with a polished chestnut torso, broad ivy-leaf forearms and trailing vine antennae dotted with small green berries.|ivy hook|climbing snare
seedrill|A compact drill-nosed mammal with a spiral wooden snout, a dark soil coat and a row of pale sprouting seeds along its back.|seed drill|burrowing bloom
clovaron|A rotund clover creature with a rounded green knot body, a tiny smiling seed face and four wide leaf arms tipped in white blossoms.|clover cuff|meadow whirl
hazelurk|A hunched hazelnut goblin with a polished brown shell helmet, large leafy ears and long twig fingers wrapped in soft green moss.|hazel jab|shellwood smash
saplume|A floating drop of golden tree sap with a pale feathered seed tail, two dark bead eyes and tiny amber fin-shaped arms.|sap flick|amberseed burst
reedox|A muscular ox built from bundles of green reeds, with a dark peat muzzle, broad water-polished horns and a shaggy cattail mane.|reedhorn ram|marshland charge
orchimera|A poised creature with a small white orchid mask, a green praying forebody and a flowing fan of pink orchid petals forming its hindquarters.|orchid snap|petal masquerade
burrowan|A stocky burrowing bird with rust-brown earth feathers, a broad root-shaped beak and folded wings edged in deep green leaves.|rootbeak jab|earthwing surge
mulchmant|A tall guardian formed from layered leaf litter, with a smooth white birch face, bark gauntlets and tiny mushrooms nestled around its shoulders.|leaf-litter slap|compost crush
pistachiope|A small curious creature with a cracked pistachio shell torso, pale green mittens and a crown of long pink-and-green root tendrils.|shell pebble|pistachio tumble
