aurellux|a pearl-furred hare with broad translucent prism ears and tiny gold hoof tips, crouching on four compact legs|prism skip|dawn bound
haloceros|a stocky ivory rhinoceros with a rotating ring of sunlight around its single crystal horn|halo ram|daybreak charge
lucentail|a long-tailed ribbon ferret with luminous opal whiskers and a fan-shaped tail of thin glass scales|glimmer curl|opal lash
solivane|a graceful mechanical heron with brass sundial wings, slender porcelain legs and a radiant circular chest|dial peck|zenith sweep
chandelisk|a walking crystal chandelier creature with six articulated silver legs and a crown of glowing teardrop gems|pendant tap|crystal cascade
beamlark|a plump songbird with transparent throat feathers, a golden tuning-fork crest and three tail plumes|chime note|resonant dawn
luxodile|a low-slung crocodilian made of frosted sea glass with warm light shining through its tiled back|glass snap|sunband tumble
prismantis|a tall mantis with folded triangular stained-glass forearms and fine gold jointed antennae|spectrum cut|rainbow shear
sunspindle|a floating spinning-top creature with an amber glass body, ivory spokes and a curious central eye|spindle flick|solar pirouette
aurorook|a stout owl with a translucent disk-shaped face and feathers shaped like pastel aurora ribbons|veil flutter|polar gleam
luminettle|a round hovering medusa with seven slender light-fiber tendrils and a pearl bell containing a star|fiber sting|star pulse
opticorn|a tiny one-horned beetle with a polished lens shell and delicate six-legged silhouette|lens jab|focused beam
vellucian|an upright velvet-robed creature with a soft masklike face and sleeves filled with floating golden motes|mote brush|luminous embrace
solmothic|a broad-winged moth with cream velvet fur and geometric gold windows in its wings|dust shimmer|window blaze
citrilume|a cheerful citrus-shaped creature with segmented translucent skin, leaflike fins and four pale feet|zest flash|citrine burst
heliotter|a sleek otter with a floating gold hoop around its waist and sunlit ripples along its fur|hoop strike|ripple radiance
mirravel|a tall silver-backed turtle with a domed mosaic mirror shell and small soft ivory limbs|mirror bump|reflected ray
lucidrum|a stout drum-bodied golem with parchment skin, two padded arms and luminous vibrating drumheads|rhythm tap|chorus flare
opalora|a slender antelope with branching opal horns and small suspended rings between the horn tines|opal thrust|crown refraction
suncleft|a living geode split into two hovering halves around a warm white core, balanced above three stone feet|geode chip|core sunrise
phosphene|a tiny round-eyed sprite with a translucent floating body and long trails of pastel afterimages|afterimage dart|vision bloom
daylilyth|a six-petaled ivory flower creature with a small leonine face and muscular leafy front paws|petal glint|corolla beam
spectrill|a striped lizard with a prism-shaped dorsal sail, silver claws and vividly refracted shadow|sail shimmer|spectrum surge
glimmora|a gentle ray-shaped sky creature with broad milky wings and a constellation of gold pores|wing glisten|sky lantern
lucibell|a walking porcelain handbell with two curved legs and a bright pearl eye inside its hollow mouth|bell tap|pearl peal
sundapple|a spotted tapir with soft cream fur and circular patches that glow like reflected sunlight|dapple nudge|sunspot stamp
iridell|a long-necked glass swan with layered rainbow-edged feathers and a curved ivory bill|iridescent peck|glass overture
lanthalo|a small round lantern-bodied quadruped with a woven brass cage and friendly crescent eyes|cage clink|lantern swell
photolisk|a squat amphibian with bulbous camera-lens eyes, pearly skin and a collar of tiny reflective disks|shutter blink|aperture blast
